,Block Name,Point ID,CoordinateX,CoordinateY,CoordinateZ,Magnitude_Velocity_Dataset_V_MAG_N_1_1_0,Magnitude_Vorticity_Dataset_VORTICITY_MAG_N_1_1_0,Points_0,Points_1,Points_2,Points_Magnitude,Result_0,Result_1,Result_2,Result_Magnitude,X_Component_Velocity_Dataset_V_X_N_1_1_0,Y_Component_Velocity_Dataset_V_Y_N_1_1_0,Z_Component_Velocity_Dataset_V_Z_N_1_1_0,Vortex
4431,x_plane_Step_1_Incr_0,2763,3.14159,4.98666,4.38826,0.55132,0.56467,3.14159,4.98666,4.38826,7.348,8.39085e-08,0.535266,0.039632,0.536731,8.39085e-08,0.535266,0.039632,0.0
4432,x_plane_Step_1_Incr_0,2764,3.14159,5.08639,4.28852,0.631492,0.439213,3.14159,5.08639,4.28852,7.35747,7.99093e-08,0.614997,0.0842091,0.620735,7.99093e-08,0.614997,0.0842091,0.0
4433,x_plane_Step_1_Incr_0,2765,3.14159,5.18612,4.18879,0.697906,0.491976,3.14159,5.18612,4.18879,7.36963,7.61268e-08,0.678378,0.129281,0.690587,7.61268e-08,0.678378,0.129281,0.0
4434,x_plane_Step_1_Incr_0,2766,3.14159,5.28586,4.08906,0.747713,0.551527,3.14159,5.28586,4.08906,7.38446,7.28392e-08,0.72369,0.169327,0.743235,7.28392e-08,0.72369,0.169327,0.0
4435,x_plane_Step_1_Incr_0,2767,3.14159,5.38559,3.98932,0.775623,0.552897,3.14159,5.38559,3.98932,7.40195,6.58121e-08,0.746464,0.201508,0.773184,6.58121e-08,0.746464,0.201508,0.0
4436,x_plane_Step_1_Incr_0,2768,3.14159,5.48532,3.88959,0.778583,0.544412,3.14159,5.48532,3.88959,7.42208,5.21882e-08,0.74605,0.217965,0.777238,5.21882e-08,0.74605,0.217965,0.0
4437,x_plane_Step_1_Incr_0,2769,3.14159,5.58505,3.78986,0.754751,0.528249,3.14159,5.58505,3.78986,7.44483,4.83163e-08,0.722502,0.215067,0.753832,4.83163e-08,0.722502,0.215067,0.0
4438,x_plane_Step_1_Incr_0,2770,3.14159,0.897598,4.08906,0.732609,0.421426,3.14159,0.897598,4.08906,5.23409,8.2915e-08,-0.716298,0.126307,0.727349,8.2915e-08,-0.716298,0.126307,0.0
4439,x_plane_Step_1_Incr_0,2771,3.14159,0.797865,4.08906,0.720676,0.322226,3.14159,0.797865,4.08906,5.21791,8.49638e-08,-0.708816,0.0972711,0.715459,8.49638e-08,-0.708816,0.0972711,0.0
4440,x_plane_Step_1_Incr_0,2772,3.14159,0.997331,4.18879,0.685885,0.395136,3.14159,0.997331,4.18879,5.33013,9.27085e-08,-0.674219,0.0711081,0.677958,9.27085e-08,-0.674219,0.0711081,0.0
4441,x_plane_Step_1_Incr_0,2773,3.14159,1.09706,4.28852,0.617061,0.513025,3.14159,1.09706,4.28852,5.42813,1.00974e-07,-0.605562,0.013419,0.60571,1.00974e-07,-0.605562,0.013419,0.0
4442,x_plane_Step_1_Incr_0,2774,3.14159,1.1968,4.38826,0.519922,1.11326,3.14159,1.1968,4.38826,5.528,1.09832e-07,-0.503801,-0.0348521,0.505005,1.09832e-07,-0.503801,-0.0348521,0.0
4443,x_plane_Step_1_Incr_0,2775,3.14159,1.1968,4.48799,0.312659,2.94389,3.14159,1.1968,4.48799,5.60749,1.31199e-07,-0.260894,-0.0943327,0.277424,1.31199e-07,-0.260894,-0.0943327,0.0
4444,x_plane_Step_1_Incr_0,2776,3.14159,3.19146,6.08372,0.154979,0.111661,3.14159,3.19146,6.08372,7.55425,1.11275e-07,-0.0783998,-0.0866376,0.116844,1.11275e-07,-0.0783998,-0.0866376,0.0
4445,x_plane_Step_1_Incr_0,2777,3.14159,3.29119,5.98399,0.261767,0.249858,3.14159,3.29119,5.98399,7.51729,8.04857e-08,-0.222375,-0.1083,0.247345,8.04857e-08,-0.222375,-0.1083,0.0
4446,x_plane_Step_1_Incr_0,2778,3.14159,3.39093,5.88425,0.383666,0.21551,3.14159,3.39093,5.88425,7.48281,8.16609e-08,-0.352288,-0.133382,0.376693,8.16609e-08,-0.352288,-0.133382,0.0
4447,x_plane_Step_1_Incr_0,2779,3.14159,3.49066,5.78452,0.500587,0.263563,3.14159,3.49066,5.78452,7.45084,7.72664e-08,-0.467918,-0.166159,0.496544,7.72664e-08,-0.467918,-0.166159,0.0
4448,x_plane_Step_1_Incr_0,2780,3.14159,3.59039,5.68479,0.596054,0.299841,3.14159,3.59039,5.68479,7.42141,8.09768e-08,-0.562786,-0.188469,0.593505,8.09768e-08,-0.562786,-0.188469,0.0
4449,x_plane_Step_1_Incr_0,2781,3.14159,3.69013,5.58505,0.669217,0.324579,3.14159,3.69013,5.58505,7.39456,8.25653e-08,-0.63755,-0.196387,0.667111,8.25653e-08,-0.63755,-0.196387,0.0
4450,x_plane_Step_1_Incr_0,2782,3.14159,3.78986,5.48532,0.714401,0.329155,3.14159,3.78986,5.48532,7.3703,8.6114e-08,-0.689335,-0.17755,0.711834,8.6114e-08,-0.689335,-0.17755,1.0
4456,x_plane_Step_1_Incr_0,2783,3.14159,3.88959,5.38559,0.727308,0.317476,3.14159,3.88959,5.38559,7.34868,8.60076e-08,-0.711507,-0.129588,0.723212,8.60076e-08,-0.711507,-0.129588,1.0
4462,x_plane_Step_1_Incr_0,2784,3.14159,3.98932,5.28586,0.704553,0.346411,3.14159,3.98932,5.28586,7.32971,8.77504e-08,-0.695438,-0.0609423,0.698103,8.77504e-08,-0.695438,-0.0609423,1.0
4468,x_plane_Step_1_Incr_0,2785,3.14159,4.08906,5.18612,0.645867,0.608918,3.14159,4.08906,5.18612,7.3134,8.91198e-08,-0.636329,0.0133061,0.636468,8.91198e-08,-0.636329,0.0133061,1.0
4474,x_plane_Step_1_Incr_0,2786,3.14159,4.18879,5.08639,0.544647,1.41891,3.14159,4.18879,5.08639,7.29979,8.91275e-08,-0.527028,0.071511,0.531857,8.91275e-08,-0.527028,0.071511,0.0
4475,x_plane_Step_1_Incr_0,2787,3.14159,4.28852,4.98666,0.394715,2.51142,3.14159,4.28852,4.98666,7.28888,1.03282e-07,-0.362561,0.0969814,0.375308,1.03282e-07,-0.362561,0.0969814,0.0
4476,x_plane_Step_1_Incr_0,2788,3.14159,4.38826,4.88692,0.256518,3.21495,3.14159,4.38826,4.88692,7.28069,1.07652e-07,-0.152893,0.085621,0.175235,1.07652e-07,-0.152893,0.085621,0.0
4477,x_plane_Step_1_Incr_0,2789,3.14159,4.48799,4.78719,0.220019,3.02413,3.14159,4.48799,4.78719,7.27522,1.05415e-07,0.0541474,0.0564502,0.0782213,1.05415e-07,0.0541474,0.0564502,0.0
