,Block Name,Point ID,CoordinateX,CoordinateY,CoordinateZ,Magnitude_Velocity_Dataset_V_MAG_N_1_1_0,Magnitude_Vorticity_Dataset_VORTICITY_MAG_N_1_1_0,Points_0,Points_1,Points_2,Points_Magnitude,Result_0,Result_1,Result_2,Result_Magnitude,X_Component_Velocity_Dataset_V_X_N_1_1_0,Y_Component_Velocity_Dataset_V_Y_N_1_1_0,Z_Component_Velocity_Dataset_V_Z_N_1_1_0,Vortex
0,x_plane_Step_1_Incr_0,0,3.14159,5.28586,2.59306,0.857094,0.767672,3.14159,5.28586,2.59306,6.67337,-1.81078e-08,0.817859,-0.25554,0.856852,-1.81078e-08,0.817859,-0.25554,0.0
1,x_plane_Step_1_Incr_0,1,3.14159,5.38559,2.59306,0.836459,0.74161,3.14159,5.38559,2.59306,6.75264,-1.16486e-09,0.800831,-0.241014,0.836312,-1.16486e-09,0.800831,-0.241014,0.0
2,x_plane_Step_1_Incr_0,2,3.14159,5.38559,2.49333,0.82866,0.704,3.14159,5.38559,2.49333,6.71497,1.77205e-08,0.788989,-0.252543,0.828421,1.77205e-08,0.788989,-0.252543,0.0
3,x_plane_Step_1_Incr_0,3,3.14159,5.28586,2.49333,0.85115,0.747256,3.14159,5.28586,2.49333,6.63525,1.73586e-09,0.806264,-0.272358,0.851023,1.73586e-09,0.806264,-0.272358,0.0
4,x_plane_Step_1_Incr_0,4,3.14159,5.18612,2.59306,0.86877,0.772476,3.14159,5.18612,2.59306,6.59465,-2.55056e-08,0.826283,-0.267,0.86835,-2.55056e-08,0.826283,-0.267,0.0
5,x_plane_Step_1_Incr_0,5,3.14159,5.18612,2.49333,0.865688,0.770362,3.14159,5.18612,2.49333,6.55608,-9.67869e-09,0.815716,-0.289378,0.865524,-9.67869e-09,0.815716,-0.289378,0.0
6,x_plane_Step_1_Incr_0,6,3.14159,5.28586,2.39359,0.832358,0.718837,3.14159,5.28586,2.39359,6.59842,3.34415e-08,0.787608,-0.267697,0.831858,3.34415e-08,0.787608,-0.267697,0.0
7,x_plane_Step_1_Incr_0,7,3.14159,5.38559,2.39359,0.808684,0.635587,3.14159,5.38559,2.39359,6.67858,4.8708e-08,0.770952,-0.241256,0.807819,4.8708e-08,0.770952,-0.241256,0.0
8,x_plane_Step_1_Incr_0,8,3.14159,5.18612,2.39359,0.850813,0.778419,3.14159,5.18612,2.39359,6.5188,1.5632e-08,0.79812,-0.294064,0.85057,1.5632e-08,0.79812,-0.294064,0.0
9,x_plane_Step_1_Incr_0,9,3.14159,5.28586,2.29386,0.798192,0.665074,3.14159,5.28586,2.29386,6.5629,6.24544e-08,0.76065,-0.235949,0.796405,6.24544e-08,0.76065,-0.235949,0.0
10,x_plane_Step_1_Incr_0,10,3.14159,5.38559,2.29386,0.775624,0.552898,3.14159,5.38559,2.29386,6.64349,7.31915e-08,0.746464,-0.201509,0.773185,7.31915e-08,0.746464,-0.201509,0.0
11,x_plane_Step_1_Incr_0,11,3.14159,5.18612,2.29386,0.819236,0.75741,3.14159,5.18612,2.29386,6.48284,4.64968e-08,0.771072,-0.273438,0.81812,4.64968e-08,0.771072,-0.273438,0.0
12,x_plane_Step_1_Incr_0,12,3.14159,0.0,1.89493,0.770434,0.994861,3.14159,0.0,1.89493,3.66884,2.11765e-07,0.0400923,-0.76671,0.767758,2.11765e-07,0.0400923,-0.76671,0.0
13,x_plane_Step_1_Incr_0,13,3.14159,0.0997331,1.89493,0.674895,2.46378,3.14159,0.0997331,1.89493,3.67019,1.07549e-07,-0.0767247,-0.66451,0.668924,1.07549e-07,-0.0767247,-0.66451,1.0
19,x_plane_Step_1_Incr_0,14,3.14159,0.0997331,1.7952,0.597693,3.1691,3.14159,0.0997331,1.7952,3.61971,1.17336e-07,0.023969,-0.585753,0.586243,1.17336e-07,0.023969,-0.585753,1.0
25,x_plane_Step_1_Incr_0,15,3.14159,0.0,1.7952,0.701686,1.64485,3.14159,0.0,1.7952,3.61833,2.29812e-07,-0.00350531,-0.697051,0.69706,2.29812e-07,-0.00350531,-0.697051,0.0
26,x_plane_Step_1_Incr_0,16,3.14159,0.0,1.69546,0.521896,1.89255,3.14159,0.0,1.69546,3.5699,2.94614e-07,-0.0628252,-0.506966,0.510844,2.94614e-07,-0.0628252,-0.506966,0.0
27,x_plane_Step_1_Incr_0,17,3.14159,0.0997331,1.69546,0.455982,3.02512,3.14159,0.0997331,1.69546,3.57129,1.50348e-07,0.142215,-0.389689,0.414828,1.50348e-07,0.142215,-0.389689,1.0
33,x_plane_Step_1_Incr_0,18,3.14159,0.199466,1.89493,0.480983,4.17604,3.14159,0.199466,1.89493,3.67425,1.09113e-07,-0.122908,-0.451864,0.468281,1.09113e-07,-0.122908,-0.451864,1.0
39,x_plane_Step_1_Incr_0,19,3.14159,0.199466,1.7952,0.397206,4.77509,3.14159,0.199466,1.7952,3.62383,1.1462e-07,0.0766026,-0.349624,0.357918,1.1462e-07,0.0766026,-0.349624,1.0
45,x_plane_Step_1_Incr_0,20,3.14159,0.0,1.59573,0.291591,1.31853,3.14159,0.0,1.59573,3.52363,3.1646e-07,-0.0825718,-0.149798,0.171049,3.1646e-07,-0.0825718,-0.149798,0.0
46,x_plane_Step_1_Incr_0,21,3.14159,0.0997331,1.59573,0.3315,1.78078,3.14159,0.0997331,1.59573,3.52504,1.54005e-07,0.189269,-0.0598168,0.198497,1.54005e-07,0.189269,-0.0598168,1.0
52,x_plane_Step_1_Incr_0,22,3.14159,0.199466,1.69546,0.374636,3.91118,3.14159,0.199466,1.69546,3.57547,1.26775e-07,0.270378,-0.154823,0.311568,1.26775e-07,0.270378,-0.154823,1.0
58,x_plane_Step_1_Incr_0,23,3.14159,0.299199,1.89493,0.307856,4.5008,3.14159,0.299199,1.89493,3.68102,1.25923e-07,-0.132059,-0.247036,0.280118,1.25923e-07,-0.132059,-0.247036,1.0
64,x_plane_Step_1_Incr_0,24,3.14159,0.299199,1.7952,0.265392,4.7024,3.14159,0.299199,1.7952,3.63068,1.27806e-07,0.134097,-0.128233,0.185541,1.27806e-07,0.134097,-0.128233,1.0
70,x_plane_Step_1_Incr_0,25,3.14159,0.0,1.496,0.32541,1.38768,3.14159,0.0,1.496,3.4796,1.85421e-07,-0.0789377,0.261505,0.27316,1.85421e-07,-0.0789377,0.261505,0.0
71,x_plane_Step_1_Incr_0,26,3.14159,0.0997331,1.496,0.39934,1.37689,3.14159,0.0997331,1.496,3.48103,9.06532e-08,0.160869,0.310339,0.349555,9.06532e-08,0.160869,0.310339,0.0
72,x_plane_Step_1_Incr_0,27,3.14159,0.199466,1.59573,0.422458,1.97497,3.14159,0.199466,1.59573,3.52927,1.49158e-07,0.340234,0.117074,0.359813,1.49158e-07,0.340234,0.117074,1.0
78,x_plane_Step_1_Incr_0,28,3.14159,0.299199,1.69546,0.390633,3.21917,3.14159,0.299199,1.69546,3.58242,1.27924e-07,0.349183,0.052701,0.353138,1.27924e-07,0.349183,0.052701,1.0
84,x_plane_Step_1_Incr_0,29,3.14159,0.398932,1.89493,0.208957,4.57388,3.14159,0.398932,1.89493,3.69046,1.23631e-07,-0.11756,-0.0819507,0.143305,1.23631e-07,-0.11756,-0.0819507,1.0
90,x_plane_Step_1_Incr_0,30,3.14159,0.398932,1.7952,0.239123,4.16962,3.14159,0.398932,1.7952,3.64026,1.30895e-07,0.181666,0.0380753,0.185613,1.30895e-07,0.181666,0.0380753,1.0
96,x_plane_Step_1_Incr_0,31,3.14159,3.98932,2.19413,0.790029,0.852074,3.14159,3.98932,2.19413,5.53159,-1.37853e-07,0.580951,-0.526482,0.78402,-1.37853e-07,0.580951,-0.526482,0.0
97,x_plane_Step_1_Incr_0,32,3.14159,4.08906,2.19413,0.81343,0.884324,3.14159,4.08906,2.19413,5.60394,-1.22032e-07,0.617535,-0.521924,0.808551,-1.22032e-07,0.617535,-0.521924,0.0
98,x_plane_Step_1_Incr_0,33,3.14159,4.08906,2.0944,0.846889,1.02901,3.14159,4.08906,2.0944,5.56565,-1.10879e-07,0.602554,-0.589842,0.843199,-1.10879e-07,0.602554,-0.589842,0.0
99,x_plane_Step_1_Incr_0,34,3.14159,3.98932,2.0944,0.8328,1.01854,3.14159,3.98932,2.0944,5.4928,-1.21659e-07,0.567811,-0.602556,0.827939,-1.21659e-07,0.567811,-0.602556,0.0
100,x_plane_Step_1_Incr_0,35,3.14159,0.0,1.39626,0.581805,1.94389,3.14159,0.0,1.39626,3.4379,-1.22717e-08,-0.0639076,0.567564,0.571151,-1.22717e-08,-0.0639076,0.567564,0.0
101,x_plane_Step_1_Incr_0,36,3.14159,0.0997331,1.39626,0.609274,1.87785,3.14159,0.0997331,1.39626,3.43935,2.22012e-08,0.118347,0.585906,0.597739,2.22012e-08,0.118347,0.585906,0.0
102,x_plane_Step_1_Incr_0,37,3.14159,0.199466,1.496,0.52613,1.3193,3.14159,0.199466,1.496,3.48531,1.6503e-07,0.280684,0.405198,0.492919,1.6503e-07,0.280684,0.405198,0.0
103,x_plane_Step_1_Incr_0,38,3.14159,0.299199,1.59573,0.516635,1.40609,3.14159,0.299199,1.59573,3.53631,1.44858e-07,0.405095,0.266375,0.484828,1.44858e-07,0.405095,0.266375,1.0
109,x_plane_Step_1_Incr_0,39,3.14159,0.398932,1.69546,0.452378,2.28761,3.14159,0.398932,1.69546,3.59212,1.35038e-07,0.386482,0.19842,0.434441,1.35038e-07,0.386482,0.19842,1.0
115,x_plane_Step_1_Incr_0,40,3.14159,0.498666,1.89493,0.20724,4.45513,3.14159,0.498666,1.89493,3.70257,1.23813e-07,-0.105393,0.0354446,0.111194,1.23813e-07,-0.105393,0.0354446,1.0
121,x_plane_Step_1_Incr_0,41,3.14159,0.498666,1.7952,0.27349,3.42605,3.14159,0.498666,1.7952,3.65253,1.29643e-07,0.207632,0.146608,0.254175,1.29643e-07,0.207632,0.146608,1.0
127,x_plane_Step_1_Incr_0,42,3.14159,3.88959,2.19413,0.763212,0.825954,3.14159,3.88959,2.19413,5.4601,-1.34819e-07,0.539066,-0.529943,0.755931,-1.34819e-07,0.539066,-0.529943,0.0
128,x_plane_Step_1_Incr_0,43,3.14159,3.88959,2.0944,0.814321,1.00628,3.14159,3.88959,2.0944,5.42079,-1.19797e-07,0.527192,-0.612502,0.808139,-1.19797e-07,0.527192,-0.612502,0.0
129,x_plane_Step_1_Incr_0,44,3.14159,3.98932,1.99466,0.858909,1.14944,3.14159,3.98932,1.99466,5.45555,-9.48778e-08,0.547723,-0.657989,0.856125,-9.48778e-08,0.547723,-0.657989,0.0
130,x_plane_Step_1_Incr_0,45,3.14159,4.08906,1.99466,0.861387,1.14733,3.14159,4.08906,1.99466,5.52889,-7.81145e-08,0.579208,-0.634873,0.859387,-7.81145e-08,0.579208,-0.634873,0.0
131,x_plane_Step_1_Incr_0,46,3.14159,0.0,1.29653,0.72002,1.80332,3.14159,0.0,1.29653,3.39862,-1.90808e-07,-0.0468448,0.716829,0.718359,-1.90808e-07,-0.0468448,0.716829,0.0
132,x_plane_Step_1_Incr_0,47,3.14159,0.0997331,1.29653,0.730648,1.74007,3.14159,0.0997331,1.29653,3.40008,-6.22157e-08,0.0952308,0.72128,0.727539,-6.22157e-08,0.0952308,0.72128,0.0
133,x_plane_Step_1_Incr_0,48,3.14159,0.199466,1.39626,0.667874,1.79502,3.14159,0.199466,1.39626,3.44368,1.30951e-07,0.211156,0.624998,0.659704,1.30951e-07,0.211156,0.624998,0.0
134,x_plane_Step_1_Incr_0,49,3.14159,0.299199,1.496,0.615767,1.24738,3.14159,0.299199,1.496,3.49244,1.69978e-07,0.340753,0.486814,0.594222,1.69978e-07,0.340753,0.486814,0.0
135,x_plane_Step_1_Incr_0,50,3.14159,0.398932,1.59573,0.582236,0.983282,3.14159,0.398932,1.59573,3.54614,1.46497e-07,0.424382,0.367778,0.56157,1.46497e-07,0.424382,0.367778,1.0
141,x_plane_Step_1_Incr_0,51,3.14159,0.498666,1.69546,0.49293,1.48288,3.14159,0.498666,1.69546,3.60456,1.37603e-07,0.389912,0.280124,0.480104,1.37603e-07,0.389912,0.280124,1.0
147,x_plane_Step_1_Incr_0,52,3.14159,0.598399,1.89493,0.247254,4.20611,3.14159,0.598399,1.89493,3.71732,1.25436e-07,-0.115591,0.106465,0.15715,1.25436e-07,-0.115591,0.106465,1.0
153,x_plane_Step_1_Incr_0,53,3.14159,0.598399,1.7952,0.303414,2.82947,3.14159,0.598399,1.7952,3.66748,1.28951e-07,0.204431,0.197539,0.284278,1.28951e-07,0.204431,0.197539,1.0
159,x_plane_Step_1_Incr_0,54,3.14159,3.09173,2.89226,0.169471,0.139388,3.14159,3.09173,2.89226,5.27196,-1.35286e-07,-0.0527508,-0.108728,0.120849,-1.35286e-07,-0.0527508,-0.108728,0.0
160,x_plane_Step_1_Incr_0,55,3.14159,3.19146,2.89226,0.169471,0.139388,3.14159,3.19146,2.89226,5.33106,-1.34755e-07,0.052752,-0.108728,0.12085,-1.34755e-07,0.052752,-0.108728,0.0
161,x_plane_Step_1_Incr_0,56,3.14159,3.19146,2.79253,0.203132,0.201021,3.14159,3.19146,2.79253,5.27762,-1.25526e-07,0.0519388,-0.154284,0.162792,-1.25526e-07,0.0519388,-0.154284,0.0
162,x_plane_Step_1_Incr_0,57,3.14159,3.09173,2.79253,0.203131,0.201021,3.14159,3.09173,2.79253,5.21791,-1.31821e-07,-0.0519376,-0.154284,0.162792,-1.31821e-07,-0.0519376,-0.154284,0.0
163,x_plane_Step_1_Incr_0,58,3.14159,3.29119,2.79253,0.246338,0.226511,3.14159,3.29119,2.79253,5.33852,-1.43227e-07,0.155466,-0.152067,0.217472,-1.43227e-07,0.155466,-0.152067,0.0
164,x_plane_Step_1_Incr_0,59,3.14159,3.29119,2.69279,0.277738,0.283261,3.14159,3.29119,2.69279,5.28703,-1.44691e-07,0.152447,-0.199595,0.251154,-1.44691e-07,0.152447,-0.199595,0.0
165,x_plane_Step_1_Incr_0,60,3.14159,3.19146,2.69279,0.24236,0.263377,3.14159,3.19146,2.69279,5.22553,-1.13923e-07,0.0509618,-0.202201,0.208524,-1.13923e-07,0.0509618,-0.202201,0.0
166,x_plane_Step_1_Incr_0,61,3.14159,3.78986,2.19413,0.733216,0.800993,3.14159,3.78986,2.19413,5.38951,-1.18963e-07,0.491168,-0.532582,0.724493,-1.18963e-07,0.491168,-0.532582,0.0
167,x_plane_Step_1_Incr_0,62,3.14159,3.78986,2.0944,0.792185,0.99257,3.14159,3.78986,2.0944,5.34968,-1.01455e-07,0.480612,-0.620137,0.784575,-1.01455e-07,0.480612,-0.620137,0.0
168,x_plane_Step_1_Incr_0,63,3.14159,3.88959,1.99466,0.8516,1.16138,3.14159,3.88959,1.99466,5.38305,-1.02495e-07,0.510552,-0.67697,0.84791,-1.02495e-07,0.510552,-0.67697,0.0
169,x_plane_Step_1_Incr_0,64,3.14159,3.98932,1.89493,0.858808,1.32633,3.14159,3.98932,1.89493,5.41988,-4.09324e-08,0.519118,-0.682631,0.857595,-4.09324e-08,0.519118,-0.682631,0.0
170,x_plane_Step_1_Incr_0,65,3.14159,4.08906,1.89493,0.848613,1.31179,3.14159,4.08906,1.89493,5.4937,-1.53116e-08,0.545184,-0.649104,0.84768,-1.53116e-08,0.545184,-0.649104,0.0
171,x_plane_Step_1_Incr_0,66,3.14159,0.0,1.1968,0.742521,1.39636,3.14159,0.0,1.1968,3.36183,-2.73199e-07,-0.0460268,0.735532,0.73697,-2.73199e-07,-0.0460268,0.735532,0.0
172,x_plane_Step_1_Incr_0,67,3.14159,0.0997331,1.1968,0.749454,1.38047,3.14159,0.0997331,1.1968,3.36331,-1.20892e-07,0.0909101,0.737191,0.742776,-1.20892e-07,0.0909101,0.737191,0.0
173,x_plane_Step_1_Incr_0,68,3.14159,0.199466,1.29653,0.757671,1.6374,3.14159,0.199466,1.29653,3.40447,2.23352e-09,0.183435,0.732539,0.755157,2.23352e-09,0.183435,0.732539,0.0
174,x_plane_Step_1_Incr_0,69,3.14159,0.299199,1.39626,0.724407,1.72505,3.14159,0.299199,1.39626,3.4509,1.37696e-07,0.279321,0.662393,0.718877,1.37696e-07,0.279321,0.662393,0.0
175,x_plane_Step_1_Incr_0,70,3.14159,0.398932,1.496,0.674666,1.22815,3.14159,0.398932,1.496,3.50239,1.68151e-07,0.371678,0.545515,0.660099,1.68151e-07,0.371678,0.545515,0.0
176,x_plane_Step_1_Incr_0,71,3.14159,0.498666,1.59573,0.611172,0.786208,3.14159,0.498666,1.59573,3.55874,1.44501e-07,0.41863,0.423955,0.595809,1.44501e-07,0.41863,0.423955,1.0
188,x_plane_Step_1_Incr_0,72,3.14159,0.598399,1.69546,0.497085,1.02148,3.14159,0.598399,1.69546,3.61971,1.37504e-07,0.374477,0.309766,0.485992,1.37504e-07,0.374477,0.309766,1.0
194,x_plane_Step_1_Incr_0,73,3.14159,0.498666,1.99466,0.423196,3.55281,3.14159,0.498666,1.99466,3.75459,1.16689e-07,-0.413264,-0.0357048,0.414804,1.16689e-07,-0.413264,-0.0357048,1.0
200,x_plane_Step_1_Incr_0,74,3.14159,0.598399,1.99466,0.455018,3.34411,3.14159,0.598399,1.99466,3.76913,1.17457e-07,-0.444661,0.0405762,0.446508,1.17457e-07,-0.444661,0.0405762,1.0
206,x_plane_Step_1_Incr_0,75,3.14159,0.698132,1.89493,0.277805,3.94651,3.14159,0.698132,1.89493,3.73467,1.24847e-07,-0.148173,0.138959,0.203138,1.24847e-07,-0.148173,0.138959,1.0
212,x_plane_Step_1_Incr_0,76,3.14159,0.698132,1.7952,0.297842,2.5629,3.14159,0.698132,1.7952,3.68507,1.27377e-07,0.179896,0.20676,0.274066,1.27377e-07,0.179896,0.20676,1.0
218,x_plane_Step_1_Incr_0,77,3.14159,2.99199,2.89226,0.221586,0.174771,3.14159,2.99199,2.89226,5.2141,-1.43539e-07,-0.157899,-0.107047,0.190764,-1.43539e-07,-0.157899,-0.107047,0.0
219,x_plane_Step_1_Incr_0,78,3.14159,2.99199,2.79253,0.246337,0.226511,3.14159,2.99199,2.79253,5.15944,-1.46608e-07,-0.155465,-0.152067,0.217471,-1.46608e-07,-0.155465,-0.152067,0.0
220,x_plane_Step_1_Incr_0,79,3.14159,3.09173,2.69279,0.24236,0.263377,3.14159,3.09173,2.69279,5.16522,-1.23142e-07,-0.0509607,-0.202201,0.208524,-1.23142e-07,-0.0509607,-0.202201,0.0
221,x_plane_Step_1_Incr_0,80,3.14159,3.19146,2.59306,0.288033,0.331375,3.14159,3.19146,2.59306,5.17484,-1.30915e-07,0.0499245,-0.254022,0.258881,-1.30915e-07,0.0499245,-0.254022,0.0
222,x_plane_Step_1_Incr_0,81,3.14159,3.29119,2.59306,0.31674,0.345153,3.14159,3.29119,2.59306,5.23694,-1.62996e-07,0.149082,-0.25126,0.292159,-1.62996e-07,0.149082,-0.25126,0.0
223,x_plane_Step_1_Incr_0,82,3.14159,3.69013,2.19413,0.70054,0.774238,3.14159,3.69013,2.19413,5.31985,-1.07124e-07,0.436356,-0.534735,0.69018,-1.07124e-07,0.436356,-0.534735,0.0
224,x_plane_Step_1_Incr_0,83,3.14159,3.69013,2.0944,0.767004,0.97955,3.14159,3.69013,2.0944,5.2795,-7.44933e-08,0.427379,-0.625724,0.757749,-7.44933e-08,0.427379,-0.625724,0.0
225,x_plane_Step_1_Incr_0,84,3.14159,3.78986,1.99466,0.840042,1.18354,3.14159,3.78986,1.99466,5.31143,-9.46978e-08,0.467341,-0.69244,0.835392,-9.46978e-08,0.467341,-0.69244,0.0
226,x_plane_Step_1_Incr_0,85,3.14159,3.88959,1.89493,0.862286,1.35623,3.14159,3.88959,1.89493,5.34689,-6.1503e-08,0.487038,-0.709651,0.860703,-6.1503e-08,0.487038,-0.709651,0.0
227,x_plane_Step_1_Incr_0,86,3.14159,3.98932,1.7952,0.817254,1.41294,3.14159,3.98932,1.7952,5.38582,3.1921e-08,0.481211,-0.658908,0.815919,3.1921e-08,0.481211,-0.658908,0.0
228,x_plane_Step_1_Incr_0,87,3.14159,4.08906,1.7952,0.794465,1.34315,3.14159,4.08906,1.7952,5.4601,5.26008e-08,0.499991,-0.615046,0.792637,5.26008e-08,0.499991,-0.615046,0.0
229,x_plane_Step_1_Incr_0,88,3.14159,0.0,1.09706,0.696738,1.14701,3.14159,0.0,1.09706,3.32764,-3.40372e-07,-0.0451482,0.6825,0.683992,-3.40372e-07,-0.0451482,0.6825,0.0
230,x_plane_Step_1_Incr_0,89,3.14159,0.0997331,1.09706,0.701951,1.1467,3.14159,0.0997331,1.09706,3.32913,-1.47718e-07,0.090861,0.682052,0.688077,-1.47718e-07,0.090861,0.682052,0.0
231,x_plane_Step_1_Incr_0,90,3.14159,0.199466,1.1968,0.766877,1.35278,3.14159,0.199466,1.1968,3.36775,-1.21729e-07,0.176427,0.739998,0.760738,-1.21729e-07,0.176427,0.739998,0.0
232,x_plane_Step_1_Incr_0,91,3.14159,0.299199,1.29653,0.789411,1.55694,3.14159,0.299199,1.29653,3.41176,-4.35813e-09,0.258333,0.743835,0.787417,-4.35813e-09,0.258333,0.743835,0.0
233,x_plane_Step_1_Incr_0,92,3.14159,0.398932,1.39626,0.767071,1.63151,3.14159,0.398932,1.39626,3.46097,1.36036e-07,0.329799,0.688519,0.76343,1.36036e-07,0.329799,0.688519,0.0
234,x_plane_Step_1_Incr_0,93,3.14159,0.498666,1.496,0.705445,1.23178,3.14159,0.498666,1.496,3.51515,1.50006e-07,0.38749,0.577137,0.695151,1.50006e-07,0.38749,0.577137,1.0
240,x_plane_Step_1_Incr_0,94,3.14159,0.598399,1.59573,0.612709,0.665856,3.14159,0.598399,1.59573,3.57408,1.4498e-07,0.406258,0.441457,0.599942,1.4498e-07,0.406258,0.441457,1.0
252,x_plane_Step_1_Incr_0,95,3.14159,0.698132,1.69546,0.476558,0.838873,3.14159,0.698132,1.69546,3.63753,1.36237e-07,0.351435,0.306006,0.46599,1.36237e-07,0.351435,0.306006,1.0
258,x_plane_Step_1_Incr_0,96,3.14159,0.698132,1.99466,0.49629,2.93948,3.14159,0.698132,1.99466,3.78625,1.12723e-07,-0.479731,0.0839084,0.487014,1.12723e-07,-0.479731,0.0839084,1.0
264,x_plane_Step_1_Incr_0,97,3.14159,0.797865,1.89493,0.306999,3.73916,3.14159,0.797865,1.89493,3.75459,1.21569e-07,-0.207825,0.14613,0.254057,1.21569e-07,-0.207825,0.14613,0.0
265,x_plane_Step_1_Incr_0,98,3.14159,0.797865,1.7952,0.274456,2.63002,3.14159,0.797865,1.7952,3.70526,1.24095e-07,0.13484,0.192151,0.234742,1.24095e-07,0.13484,0.192151,0.0
266,x_plane_Step_1_Incr_0,99,3.14159,2.89226,2.89226,0.291763,0.224303,3.14159,2.89226,2.89226,5.15751,-1.19118e-07,-0.253338,-0.104631,0.274095,-1.19118e-07,-0.253338,-0.104631,0.0
267,x_plane_Step_1_Incr_0,100,3.14159,2.89226,2.79253,0.308606,0.263749,3.14159,2.89226,2.79253,5.10225,-1.27913e-07,-0.249923,-0.148899,0.290916,-1.27913e-07,-0.249923,-0.148899,0.0
268,x_plane_Step_1_Incr_0,101,3.14159,2.99199,2.69279,0.277737,0.283261,3.14159,2.99199,2.69279,5.10615,-1.41212e-07,-0.152446,-0.199595,0.251154,-1.41212e-07,-0.152446,-0.199595,0.0
269,x_plane_Step_1_Incr_0,102,3.14159,2.99199,2.99199,0.203905,0.131396,3.14159,2.99199,2.99199,5.27007,-1.23627e-07,-0.159588,-0.0635342,0.17177,-1.23627e-07,-0.159588,-0.0635342,0.0
270,x_plane_Step_1_Incr_0,103,3.14159,3.09173,2.99199,0.141678,0.0799978,3.14159,3.09173,2.99199,5.32733,-1.26002e-07,-0.0532982,-0.0644426,0.0836274,-1.26002e-07,-0.0532982,-0.0644426,0.0
271,x_plane_Step_1_Incr_0,104,3.14159,3.09173,2.59306,0.288033,0.331376,3.14159,3.09173,2.59306,5.11394,-1.35286e-07,-0.0499234,-0.254022,0.258881,-1.35286e-07,-0.0499234,-0.254022,0.0
272,x_plane_Step_1_Incr_0,105,3.14159,3.19146,2.49333,0.342031,0.416379,3.14159,3.19146,2.49333,5.12559,-1.42735e-07,0.048797,-0.312595,0.316381,-1.42735e-07,0.048797,-0.312595,0.0
273,x_plane_Step_1_Incr_0,106,3.14159,3.29119,2.49333,0.36517,0.423548,3.14159,3.29119,2.49333,5.18828,-1.68546e-07,0.145471,-0.30983,0.342282,-1.68546e-07,0.145471,-0.30983,0.0
274,x_plane_Step_1_Incr_0,107,3.14159,3.59039,2.19413,0.66609,0.745301,3.14159,3.59039,2.19413,5.25116,-1.1411e-07,0.373789,-0.536478,0.653855,-1.1411e-07,0.373789,-0.536478,0.0
275,x_plane_Step_1_Incr_0,108,3.14159,3.59039,2.0944,0.739796,0.966831,3.14159,3.59039,2.0944,5.21028,-6.85412e-08,0.366647,-0.629844,0.728789,-6.85412e-08,0.366647,-0.629844,0.0
276,x_plane_Step_1_Incr_0,109,3.14159,3.69013,1.99466,0.824146,1.20578,3.14159,3.69013,1.99466,5.24074,-7.22774e-08,0.417072,-0.704183,0.818427,-7.22774e-08,0.417072,-0.704183,0.0
277,x_plane_Step_1_Incr_0,110,3.14159,3.78986,1.89493,0.858864,1.38708,3.14159,3.78986,1.89493,5.27479,-7.02836e-08,0.449075,-0.729858,0.856949,-7.02836e-08,0.449075,-0.729858,0.0
278,x_plane_Step_1_Incr_0,111,3.14159,3.88959,1.7952,0.831291,1.46889,3.14159,3.88959,1.7952,5.31237,1.44247e-08,0.456132,-0.693638,0.830174,1.44247e-08,0.456132,-0.693638,0.0
279,x_plane_Step_1_Incr_0,112,3.14159,0.0,0.997331,0.608558,0.780926,3.14159,0.0,0.997331,3.2961,-3.81221e-07,-0.0459199,0.589199,0.590986,-3.81221e-07,-0.0459199,0.589199,0.0
280,x_plane_Step_1_Incr_0,113,3.14159,0.0997331,0.997331,0.614761,0.786505,3.14159,0.0997331,0.997331,3.29761,-1.81279e-07,0.0920281,0.58885,0.595998,-1.81279e-07,0.0920281,0.58885,0.0
281,x_plane_Step_1_Incr_0,114,3.14159,0.199466,1.09706,0.717033,1.14246,3.14159,0.199466,1.09706,3.33361,-1.66611e-07,0.178216,0.681267,0.704192,-1.66611e-07,0.178216,0.681267,0.0
282,x_plane_Step_1_Incr_0,115,3.14159,0.299199,1.1968,0.789163,1.3251,3.14159,0.299199,1.1968,3.37512,-1.20778e-07,0.254604,0.741253,0.78376,-1.20778e-07,0.254604,0.741253,0.0
283,x_plane_Step_1_Incr_0,116,3.14159,0.398932,1.29653,0.817203,1.49959,3.14159,0.398932,1.29653,3.42195,-2.67215e-09,0.320961,0.74982,0.815626,-2.67215e-09,0.320961,0.74982,0.0
284,x_plane_Step_1_Incr_0,117,3.14159,0.498666,1.39626,0.793392,1.57815,3.14159,0.498666,1.39626,3.47388,1.07689e-07,0.368986,0.699427,0.79079,1.07689e-07,0.368986,0.699427,1.0
290,x_plane_Step_1_Incr_0,118,3.14159,0.598399,1.496,0.713157,1.18642,3.14159,0.598399,1.496,3.53068,1.39495e-07,0.397318,0.582588,0.705175,1.39495e-07,0.397318,0.582588,1.0
296,x_plane_Step_1_Incr_0,119,3.14159,0.698132,1.59573,0.596027,0.584516,3.14159,0.698132,1.59573,3.59212,1.44376e-07,0.394643,0.431068,0.584434,1.44376e-07,0.394643,0.431068,1.0
308,x_plane_Step_1_Incr_0,120,3.14159,0.797865,1.69546,0.439838,0.80413,3.14159,0.797865,1.69546,3.65798,1.33931e-07,0.324948,0.279992,0.428937,1.33931e-07,0.324948,0.279992,0.0
